Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_109,VGND,li1,56.3500,38.0800,0.000027
FILLER_9_106,VGND,li1,54.9700,38.0800,0.000027
FILLER_9_97,VGND,li1,50.3700,38.0800,0.000026
FILLER_9_94,VGND,li1,49.4500,38.0800,0.000026
FILLER_9_91,VGND,li1,48.0700,38.0800,0.000026
FILLER_9_68,VGND,li1,37.4900,38.0800,0.000025
FILLER_9_65,VGND,li1,36.1100,38.0800,0.000025
FILLER_9_57,VGND,li1,31.9700,38.0800,0.000019
FILLER_9_54,VGND,li1,30.8200,38.0800,0.000019
FILLER_9_46,VGND,li1,26.9100,38.0800,0.000014
FILLER_9_38,VGND,li1,23.4600,38.0800,0.000012
FILLER_9_35,VGND,li1,22.3100,38.0800,0.000012
FILLER_9_32,VGND,li1,20.9300,38.0800,0.000012
FILLER_9_29,VGND,li1,19.5500,38.0800,0.000012
FILLER_9_26,VGND,li1,18.1700,38.0800,0.000013
FILLER_9_23,VGND,li1,16.7900,38.0800,0.000013
FILLER_8_125,VGND,li1,63.4800,32.6400,0.000012
FILLER_8_122,VGND,li1,62.3300,32.6400,0.000012
FILLER_8_98,VGND,li1,50.8300,32.6400,0.000011
FILLER_8_78,VGND,li1,41.6300,32.6400,0.000009
FILLER_8_57,VGND,li1,32.4300,32.6400,0.000007
FILLER_8_29,VGND,li1,19.0900,32.6400,0.000005
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000005
FILLER_8_24,VGND,li1,17.2500,32.6400,0.000005
FILLER_8_9,VGND,li1,9.8900,32.6400,0.000005
FILLER_8_6,VGND,li1,8.9700,32.6400,0.000005
FILLER_7_125,VGND,li1,63.4800,32.6400,0.000012
FILLER_7_122,VGND,li1,62.3300,32.6400,0.000012
FILLER_7_119,VGND,li1,60.9500,32.6400,0.000012
FILLER_7_116,VGND,li1,59.5700,32.6400,0.000012
FILLER_7_113,VGND,li1,58.1900,32.6400,0.000012
FILLER_7_109,VGND,li1,56.3500,32.6400,0.000012
FILLER_7_106,VGND,li1,54.9700,32.6400,0.000012
FILLER_7_81,VGND,li1,43.0100,32.6400,0.000010
FILLER_7_78,VGND,li1,42.0900,32.6400,0.000009
FILLER_7_75,VGND,li1,40.7100,32.6400,0.000009
FILLER_7_72,VGND,li1,39.3300,32.6400,0.000009
FILLER_7_69,VGND,li1,37.9500,32.6400,0.000008
FILLER_7_66,VGND,li1,36.5700,32.6400,0.000008
FILLER_7_63,VGND,li1,35.1900,32.6400,0.000008
FILLER_7_60,VGND,li1,33.8100,32.6400,0.000007
FILLER_7_57,VGND,li1,32.4300,32.6400,0.000007
FILLER_7_33,VGND,li1,21.1600,32.6400,0.000005
FILLER_7_30,VGND,li1,20.0100,32.6400,0.000005
FILLER_7_27,VGND,li1,18.6300,32.6400,0.000005
FILLER_7_24,VGND,li1,17.2500,32.6400,0.000005
FILLER_7_21,VGND,li1,15.8700,32.6400,0.000005
FILLER_7_18,VGND,li1,14.4900,32.6400,0.000005
FILLER_7_15,VGND,li1,13.1100,32.6400,0.000005
FILLER_7_12,VGND,li1,11.7300,32.6400,0.000005
FILLER_7_9,VGND,li1,10.3500,32.6400,0.000005
FILLER_7_6,VGND,li1,8.9700,32.6400,0.000005
FILLER_7_3,VGND,li1,7.5900,32.6400,0.000005
FILLER_6_125,VGND,li1,63.4800,27.2000,0.000040
FILLER_6_122,VGND,li1,62.3300,27.2000,0.000040
FILLER_6_119,VGND,li1,60.9500,27.2000,0.000040
FILLER_6_116,VGND,li1,59.5700,27.2000,0.000040
FILLER_6_113,VGND,li1,58.1900,27.2000,0.000040
FILLER_6_110,VGND,li1,56.8100,27.2000,0.000040
FILLER_6_107,VGND,li1,55.4300,27.2000,0.000040
FILLER_6_85,VGND,li1,45.0800,27.2000,0.000036
FILLER_6_83,VGND,li1,43.9300,27.2000,0.000034
FILLER_6_80,VGND,li1,43.0100,27.2000,0.000034
FILLER_6_77,VGND,li1,41.6300,27.2000,0.000032
FILLER_6_74,VGND,li1,40.2500,27.2000,0.000032
FILLER_6_71,VGND,li1,38.8700,27.2000,0.000030
FILLER_6_68,VGND,li1,37.4900,27.2000,0.000030
FILLER_6_65,VGND,li1,36.1100,27.2000,0.000028
FILLER_6_62,VGND,li1,34.7300,27.2000,0.000027
FILLER_6_59,VGND,li1,33.3500,27.2000,0.000027
FILLER_6_56,VGND,li1,31.9700,27.2000,0.000025
FILLER_6_53,VGND,li1,30.5900,27.2000,0.000023
FILLER_6_50,VGND,li1,29.2100,27.2000,0.000023
FILLER_6_47,VGND,li1,27.8300,27.2000,0.000021
FILLER_6_44,VGND,li1,26.4500,27.2000,0.000021
FILLER_6_41,VGND,li1,25.0700,27.2000,0.000017
FILLER_6_38,VGND,li1,23.6900,27.2000,0.000017
FILLER_6_35,VGND,li1,22.3100,27.2000,0.000017
FILLER_6_32,VGND,li1,20.9300,27.2000,0.000017
FILLER_6_29,VGND,li1,19.5500,27.2000,0.000018
FILLER_6_6,VGND,li1,8.5100,27.2000,0.000019
FILLER_6_3,VGND,li1,7.5900,27.2000,0.000019
FILLER_5_125,VGND,li1,63.4800,27.2000,0.000040
FILLER_5_122,VGND,li1,62.3300,27.2000,0.000040
FILLER_5_119,VGND,li1,60.9500,27.2000,0.000040
FILLER_5_116,VGND,li1,59.5700,27.2000,0.000040
FILLER_5_113,VGND,li1,58.1900,27.2000,0.000040
FILLER_5_106,VGND,li1,54.5100,27.2000,0.000040
FILLER_5_103,VGND,li1,53.5900,27.2000,0.000040
FILLER_5_100,VGND,li1,52.2100,27.2000,0.000040
FILLER_5_97,VGND,li1,50.8300,27.2000,0.000040
FILLER_5_94,VGND,li1,49.4500,27.2000,0.000038
FILLER_5_91,VGND,li1,48.0700,27.2000,0.000038
FILLER_5_86,VGND,li1,45.3100,27.2000,0.000036
FILLER_5_83,VGND,li1,44.3900,27.2000,0.000034
FILLER_5_80,VGND,li1,43.0100,27.2000,0.000034
FILLER_5_77,VGND,li1,41.6300,27.2000,0.000032
FILLER_5_74,VGND,li1,40.2500,27.2000,0.000032
FILLER_5_71,VGND,li1,38.8700,27.2000,0.000030
FILLER_5_68,VGND,li1,37.4900,27.2000,0.000030
FILLER_5_60,VGND,li1,33.3500,27.2000,0.000027
FILLER_5_57,VGND,li1,32.4300,27.2000,0.000025
FILLER_5_35,VGND,li1,21.8500,27.2000,0.000017
FILLER_5_32,VGND,li1,20.9300,27.2000,0.000017
FILLER_5_29,VGND,li1,19.5500,27.2000,0.000018
FILLER_5_26,VGND,li1,18.1700,27.2000,0.000018
FILLER_5_23,VGND,li1,16.7900,27.2000,0.000018
FILLER_5_9,VGND,li1,10.3500,27.2000,0.000019
FILLER_5_6,VGND,li1,8.9700,27.2000,0.000019
FILLER_4_104,VGND,li1,53.8200,21.7600,0.000011
FILLER_4_101,VGND,li1,52.6700,21.7600,0.000011
